 Image,RA,DEC,Simple,Dust strip,Bulge,Overlap,Irregular,X-type,Interacting
,48.86047,41.07200,-1,1,0,-1,1,-1,-1
,20.54712,33.44210,1,-1,-1,-1,-1,-1,-1
,249.63352,9.14193,-1,0,-1,-1,-1,-1,-1
,214.80934,-19.09379,-1,1,1,-1,-1,0,-1
,349.89747,16.20825,-1,1,1,-1,-1,-1,-1
,223.08917,-6.27477,-1,1,1,-1,-1,-1,-1
,214.86790,11.24509,1,-1,-1,-1,-1,-1,-1
,189.86747,4.26786,-1,-1,1,-1,-1,-1,-1
,138.55830,7.74706,-1,1,1,-1,-1,0,-1
,14.53517,-6.25026,1,-1,-1,-1,-1,-1,-1
,182.63680,58.30414,-1,1,1,-1,-1,-1,-1
,217.14954,25.70881,-1,1,-1,-1,-1,-1,-1
,17.67417,3.61417,1,-1,-1,-1,-1,-1,-1
,341.81439,-7.95649,-1,1,1,-1,-1,-1,-1
,343.61098,18.68054,-1,0,1,-1,-1,-1,-1
,357.36209,30.77443,-1,0,-1,-1,-1,-1,-1
,335.02727,25.60585,-1,1,1,-1,0,0,-1
,333.38723,-3.25597,-1,1,1,-1,1,-1,-1
,267.46091,4.46487,-1,0,1,-1,-1,-1,-1
,270.20057,42.18628,-1,-1,1,-1,-1,-1,-1
,4.56621,6.79326,1,-1,-1,-1,-1,-1,-1
,315.28165,15.56848,1,-1,-1,-1,-1,-1,-1
